MGI Marker Accession ID	Marker name 1	Marker name 2	Marker name 3	status	37 chr	37 bp start	37 bp end	Chr_assigned	fem_assigned_cM	mal_assigned_cM	sexave_assigned_cM	note
MGI:3613946	D1Mit169.2	D1Mit169.2		good	1	24071763	24071872					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91544	D1Mit169	D1Mit169		good	1	24071806	24071946					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101961	D1Mit432	D1Mit432		good	1	24339642	24339737					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:108813	D1Mit520	D1Mit520		good	1	24420132	24420267					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:108595	D1Mit1005	D10Mit273		good	1	24857314	24857542					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101403	D1Mit363	D1Mit363		good	1	25546823	25546964					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91591	D1Mit211	D1Mit211		good	1	25567955	25568090					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101393	D1Mit373	D1Mit373		good	1	26535326	26535449					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101356	D1Mit410	D1Mit410		good	1	27081840	27081955					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:107035	D1Mit526	D1Mit526		good	1	30275348	30275447					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91606	D1Mit225	D1Mit225		good	1	31262884	31262996					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91578	D1Mit20	D1Mit20		good	1	31975635	31975741					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101447	D1Mit319	D1Mit319		good	1	32515628	32515914					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91721	D1Mit70	D1Mit70		good	1	32733289	32733469					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101355	D1Mit411	D1Mit411		good	1	33277144	33277255					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91663	D1Mit277	D1Mit277		good	1	33648270	33648419					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101448	D1Mit318	D1Mit318		good	1	33844238	33844362					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91723	D1Mit72	D1Mit72		good	1	34777902	34778050					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91492	D1Mit121	D1Mit121		good	1	34999249	34999505					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91626	D1Mit243	D1Mit243		good	1	35131546	35131690					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91722	D1Mit71	D1Mit71		good	1	35409356	35409476					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:3614145	D1Mit1017	D7Mit252.1		good	1	35645006	35645186					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:107036	D1Mit527	D1Mit527		good	1	35976093	35976257					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101354	D1Mit412	D1Mit412		good	1	35996946	35997164					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:108793	D1Mit465	D1Mit465		good	1	36015301	36015438					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:3613947	D1Mit170.1	D1Mit170.1		good	1	36083022	36083142					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91546	D1Mit170	D1Mit170		good	1	36083115	36083218					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91547	D1Mit171	D1Mit171		good	1	36800667	36800813					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91627	D1Mit244	D1Mit244		good	1	37587396	37587528					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91628	D1Mit245	D1Mit245		good	1	37678782	37678922					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:108810	D1Mit518	D1Mit518		good	1	38023129	38023280					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91494	D1Mit123	D1Mit123		good	1	39150572	39150703					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91592	D1Mit212	D1Mit212		good	1	40049840	40049985					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101446	D1Mit320	D1Mit320		good	1	40136534	40136623					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91614	D1Mit232	D1Mit232		good	1	40319262	40319403					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:3613941	D1Mit122.1	D1Mit122.1		good	1	40502963	40503073					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91493	D1Mit122	D1Mit122		good	1	40503035	40503186					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91548	D1Mit172	D1Mit172		good	1	40769601	40769742					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91630	D1Mit247	D1Mit247		good	1	41230422	41230549					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91549	D1Mit173	D1Mit173		good	1	41560436	41560581					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:3613948	D1Mit173.1	D1Mit173.1		good	1	41560505	41560663					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:105622	D1Mit476	D1Mit476		good	1	41934136	41934354					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:93705	D1Mit1013	D6Mit73		good	1	42064131	42064279					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91615	D1Mit233	D1Mit233		good	1	42530997	42531133					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:108809	D1Mit517	D1Mit517		good	1	42684443	42684560					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101962	D1Mit433	D1Mit433		good	1	42716041	42716165					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:3613953	D1Mit228.1	D1Mit228.1		good	1	42752444	42752579					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91609	D1Mit228	D1Mit228		good	1	42752655	42752783					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91629	D1Mit246	D1Mit246		good	1	42760916	42761062					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:105623	D1Mit477	D1Mit477		good	1	43176784	43176890					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91593	D1Mit213	D1Mit213		good	1	43388261	43388368					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101391	D1Mit375	D1Mit375		good	1	43500860	43500982					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91631	D1Mit248	D1Mit248		good	1	43552201	43552341					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91618	D1Mit236	D1Mit236		good	1	45435458	45435605					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91617	D1Mit235	D1Mit235		good	1	45801585	45801728					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:3613954	D1Mit234.1	D1Mit234.1		good	1	45931047	45931178					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91616	D1Mit234	D1Mit234		good	1	45931099	45931243					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91551	D1Mit175	D1Mit175		good	1	48639885	48640018					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101963	D1Mit434	D1Mit434		good	1	49163353	49163493					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:107037	D1Mit528	D1Mit528		good	1	50834535	50834620					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101443	D1Mit323	D1Mit323		good	1	51443123	51443285					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:105624	D1Mit478	D1Mit478		good	1	51981710	51981804					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91556	D1Mit18	D1Mit18		good	1	52475422	52475577					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:107056	D1Mit545	D1Mit545		good	1	53061607	53061730					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:107055	D1Mit544	D1Mit544		good	1	53580398	53580508					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:107038	D1Mit529	D1Mit529		good	1	56241659	56241849					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:107040	D1Mit530	D1Mit530		good	1	56730525	56730639					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101389	D1Mit377	D1Mit377		good	1	57057636	57057798					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91725	D1Mit74	D1Mit74		good	1	57607811	57607948					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91495	D1Mit124	D1Mit124		good	1	57745961	57746105					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101390	D1Mit376	D1Mit376		good	1	58223761	58223892					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:107041	D1Mit531	D1Mit531		good	1	58236976	58237084					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91594	D1Mit214	D1Mit214		good	1	58290809	58290956					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:3620579	D1Mit5.2	"D1Mit5-pA, D1Mit5-pB"		good	1	58314215	58314390					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101442	D1Mit324	D1Mit324		good	1	58640469	58640706					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:3620837	D1Mit75b	D1Mit75	D1Mit75a	good	1	58748234	58748423					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101352	D1Mit414	D1Mit414		good	1	58863895	58864002					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91536	D1Mit161	D1Mit161		good	1	59280045	59280156					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91665	D1Mit279	D1Mit279		good	1	59334634	59334806					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101464	D1Mit302	D1Mit302		good	1	59523678	59523817					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91600	D1Mit22	D1Mit22		good	1	59955716	59955852					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:105625	D1Mit479	D1Mit479		good	1	60584028	60584130					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91497	D1Mit126	D1Mit126		good	1	60760462	60760578					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91632	D1Mit249	D1Mit249		good	1	60897111	60897258					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101465	D1Mit301	D1Mit301		good	1	61194220	61194319					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91552	D1Mit176	D1Mit176		good	1	61314174	61314284					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101440	D1Mit326	D1Mit326		good	1	61854593	61854719					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101387	D1Mit379	D1Mit379		good	1	62751024	62751110					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101463	D1Mit303	D1Mit303		good	1	62954170	62954297					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101388	D1Mit378	D1Mit378		good	1	63070407	63070529					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91553	D1Mit177	D1Mit177		good	1	63403193	63403330					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:108794	D1Mit466	D1Mit466		good	1	63742427	63742571					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91699	D1Mit5.1	D1Mit5		good	1	63862105	63862254					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101466	D1Mit300	D1Mit300		good	1	63927417	63927533					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:105626	D1Mit480	D1Mit480		good	1	63930517	63930684					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91496	D1Mit125	D1Mit125		good	1	64357309	64357428					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101441	D1Mit325	D1Mit325		good	1	64901285	64901455					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101439	D1Mit327	D1Mit327		good	1	65311913	65312052					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:92492	D1Mit1000	D3Mit217		good	1	65355605	65355731					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91727	D1Mit76	D1Mit76		good	1	65896421	65896625					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91530	D1Mit156	D1Mit156		good	1	65899760	65899900					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101467	D1Mit299	D1Mit299		good	1	66011411	66011533					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91589	D1Mit21	D1Mit21		good	1	66992757	66992999					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:3613949	D1Mit21.1	D1Mit21.1		good	1	66992918	66993030					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101402	D1Mit364	D1Mit364		good	1	67308779	67308887					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101438	D1Mit328	D1Mit328		good	1	67887876	67887996					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91554	D1Mit178	D1Mit178		good	1	68769663	68769844					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:3641601	D1Mit381b	D1Mit381	D1Mit381a	2+	1	70000000		1	35.03	35.22	35.10	marker maps to more than one location on 1 chr; locations are <1 Mb apart; marker map position is interpolated to the revised Shifman map based on average bp start position
MGI:101436	D1Mit330	D1Mit330		good	1	70181942	70182043					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91635	D1Mit251	D1Mit251		good	1	70413813	70414004					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91634	D1Mit250	D1Mit250		good	1	70515787	70515935					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:105627	D1Mit481	D1Mit481		good	1	70563041	70563158					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101462	D1Mit304	D1Mit304		good	1	70639092	70639227					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91729	D1Mit78	D1Mit78		good	1	70992940	70993138					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91555	D1Mit179	D1Mit179		good	1	71720486	71720619					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91498	D1Mit127	D1Mit127		good	1	71750904	71751036					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91502	D1Mit130	D1Mit130		good	1	71806685	71806821					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:93178	D1Mit1009	D5Mit109		good	1	72718069	72718268					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91668	D1Mit281	D1Mit281		good	1	72922104	72922229					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101386	D1Mit380	D1Mit380		good	1	72982363	72982472					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91669	D1Mit282	D1Mit282		good	1	73273629	73273775					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:107042	D1Mit532	D1Mit532		good	1	73294650	73294774					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:105628	D1Mit482	D1Mit482		good	1	73479672	73479812					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91567	D1Mit19	D1Mit19		good	1	73734337	73734492					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91728	D1Mit77	D1Mit77		good	1	73762590	73762732					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91557	D1Mit180	D1Mit180		good	1	73984194	73984330					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91622	D1Mit24	D1Mit24		good	1	74458254	74458455					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91558	D1Mit181	D1Mit181		good	1	74523650	74523780					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91720	D1Mit7	D1Mit7		good	1	74999392	74999495					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91636	D1Mit252	D1Mit252		good	1	75050196	75050344					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:3613956	D1Mit252.1	D1Mit252.1		good	1	75050322	75050434					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91611	D1Mit23	D1Mit23		good	1	75080266	75080397					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91711	D1Mit61	D1Mit61		good	1	75334778	75334924					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91503	D1Mit131	D1Mit131		good	1	75503420	75503539					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91695	D1Mit46	D1Mit46		good	1	75569122	75569374					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101435	D1Mit331	D1Mit331		good	1	75830409	75830568					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91671	D1Mit284	D1Mit284		good	1	75911804	75911892					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101433	D1Mit333	D1Mit333		good	1	76363147	76363248					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:105630	D1Mit484	D1Mit484		good	1	76382918	76383032					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:3613973	D1Mit483.1	D1Mit483.1		good	1	76451249	76451364					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:105629	D1Mit483	D1Mit483		good	1	76451423	76451538					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91505	D1Mit133	D1Mit133		good	1	76620511	76620747					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91730	D1Mit79	D1Mit79		good	1	76624331	76624480					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91537	D1Mit162	D1Mit162		good	1	76791129	76791258					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101966	D1Mit436	D1Mit436		good	1	76820063	76820182					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91504	D1Mit132	D1Mit132		good	1	77143053	77143198					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101434	D1Mit332	D1Mit332		good	1	77400076	77400196					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91637	D1Mit253	D1Mit253		good	1	77911264	77911409					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91595	D1Mit215	D1Mit215		good	1	78202934	78203082					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91596	D1Mit216	D1Mit216		good	1	79802769	79802888					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91506	D1Mit134	D1Mit134		good	1	80264451	80264594					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101967	D1Mit439	D1Mit439		good	1	81670974	81671097					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91560	D1Mit183	D1Mit183		good	1	82310836	82310961					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91693	D1Mit44	D1Mit44		good	1	82581512	82581697					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101384	D1Mit382	D1Mit382		good	1	82662043	82662143					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91638	D1Mit254	D1Mit254		good	1	82697881	82697980					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101383	D1Mit383	D1Mit383		good	1	82774970	82775092					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101382	D1Mit384	D1Mit384		good	1	83663467	83663590					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91639	D1Mit255	D1Mit255		good	1	83690592	83690732					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101431	D1Mit335	D1Mit335		good	1	87424652	87424800					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91733	D1Mit81	D1Mit81		good	1	87664881	87665062					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91735	D1Mit83	D1Mit83		good	1	88043561	88043710					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101351	D1Mit415	D1Mit415		good	1	88315827	88315981					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91698	D1Mit49	D1Mit49		good	1	89099549	89099675					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:3613974	D1Mit51.1	D1Mit51.1		good	1	89101365	89101521					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91701	D1Mit51	D1Mit51		good	1	89101437	89101685					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:105632	D1Mit486	D1Mit486		good	1	90346126	90346323					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91697	D1Mit48	D1Mit48		good	1	90464815	90464954					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101461	D1Mit305	D1Mit305		good	1	90626498	90626642					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101969	D1Mit440	D1Mit440		good	1	90682603	90682723					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:105633	D1Mit487	D1Mit487		good	1	91107233	91107369					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:105634	D1Mit488	D1Mit488		good	1	91968324	91968447					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91468	D1Mit10	D1Mit10		good	1	92584545	92584683					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91736	D1Mit84	D1Mit84		good	1	93806474	93806724					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101401	D1Mit365	D1Mit365		good	1	94025761	94025859					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91694	D1Mit45	D1Mit45		good	1	94909764	94909932					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91710	D1Mit60	D1Mit60		good	1	95505710	95505852					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91620	D1Mit238	D1Mit238		good	1	95545999	95546288					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:105635	D1Mit489	D1Mit489		good	1	96410125	96410234					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101430	D1Mit336	D1Mit336		good	1	98511902	98512020					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101460	D1Mit306	D1Mit306		good	1	98827535	98827643					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91562	D1Mit185	D1Mit185		good	1	98962800	98962943					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101429	D1Mit337	D1Mit337		good	1	99062779	99062988					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91479	D1Mit11	D1Mit11		good	1	100443637	100443736					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91633	D1Mit25	D1Mit25		good	1	101358179	101358323					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91531	D1Mit157	D1Mit157		good	1	101511565	101511713					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91641	D1Mit257	D1Mit257		good	1	101645674	101645807					marker maps to one location; map position interpolated to revised Shifman SNP map
